Sla_code	Sla_name	Total_pers	TSD_Code
33250	Gatton (S)	14730	305
34450	Laidley (S)	12116	305
33968	Ipswich (C) - North	11415	305
33976	Ipswich (C) - West	7650	305
33962	Ipswich (C) - Central	66048	305
33965	Ipswich (C) - East	37018	305
33973	Ipswich (C) - South-West	4724	305
30554	Beaudesert (S) Bal in BSD	22521	305
30551	Greenbank - Pt A	557	305
30557	Beaudesert (S) - Pt B	23630	305
30800	Boonah (S)	6879	305
35756	Noosa (S) - Tewantin	8856	306
34250	Kilcoy (S)	3139	306
34914	Maroochy (S) - Nambour	11397	306
32136	Caloundra (C) - Hinterland	6184	306
34911	Maroochy (S) - Mooloolaba	11161	306
32135	Caloundra (C) - Kawana	16389	306
32138	Caloundra (C) - Rail Corridor	14667	306
32132	Caloundra (C) - Caloundra N.	15080	306
32133	Caloundra (C) - Caloundra S.	14016	306
32031	Caboolture (S) - Pt B	4408	306
32002	Bribie Island	12946	306
32023	Caboolture (S) Bal in BSD	9718	306
32013	Caboolture (S) - East	10963	306
32008	Caboolture (S) - Central	15320	306
32018	Morayfield	15496	306
32005	Burpengary-Narangba	14122	306
32016	Deception Bay	15886	306
34917	Maroochy (S) Bal in S C'st SSD	12086	306
34905	Maroochy (S) - Coastal North	15905	306
34907	Maroochy (S) - Maroochydore	17045	306
34902	Maroochy (S) - Buderim	24213	306
35758	Noosa (S) Bal	11914	306
35752	Noosa (S) - Noosa-Noosaville	11539	306
35755	Noosa (S) - Sunshine-Peregian	8862	306
34918	Maroochy (S) Bal	19991	306
31810	Bundaberg (C)	42842	307
31981	Burnett (S) - Pt A	10707	307
30700	Biggenden (S)	1570	307
31984	Burnett (S) - Pt B	10511	307
32532	Cooloola (S) (excl. Gympie)	16715	307
32535	Cooloola (S) - Gympie only	15147	307
32950	Eidsvold (S)	970	307
33300	Gayndah (S)	2916	307
33750	Hervey Bay (C)	42391	307
34000	Isis (S)	5878	307
34300	Kilkivan (S)	3203	307
34350	Kingaroy (S)	11141	307
34400	Kolan (S)	4196	307
34950	Maryborough (C)	24868	307
35100	Miriam Vale (S)	4331	307
35150	Monto (S)	2922	307
35450	Mundubbera (S)	2514	307
35500	Murgon (S)	4472	307
35650	Nanango (S)	7810	307
35900	Perry (S)	351	307
36850	Tiaro (S)	4252	307
37450	Wondai (S)	3971	307
37500	Woocoo (S)	2902	307
36901	Toowoomba (C) - Central	14237	308
36903	Toowoomba (C) - North-East	10670	308
36905	Toowoomba (C) - North-West	18611	308
36906	Toowoomba (C) - South-East	19247	308
36908	Toowoomba (C) - West	20868	308
32150	Cambooya (S)	4079	308
32350	Chinchilla (S)	5600	308
32400	Clifton (S)	2308	308
32550	Crow's Nest (S)	8644	308
32650	Dalby (T)	9517	308
33600	Goondiwindi (T)	4374	308
33900	Inglewood (S)	2771	308
34200	Jondaryan (S)	11056	308
35000	Millmerran (S)	2830	308
35550	Murilla (S)	2790	308
36050	Pittsworth (S)	4264	308
36450	Rosalie (S)	8035	308
36600	Stanthorpe (S)	9596	308
36700	Tara (S)	3504	308
36750	Taroom (S)	2733	308
37100	Waggamba (S)	2712	308
37150	Wambo (S)	5205	308
37262	Warwick (S) - Central	10947	308
37263	Warwick (S) - East	4041	308
37265	Warwick (S) - North	2234	308
37266	Warwick (S) - West	2745	308
30300	Balonne (S)	4846	309
30650	Bendemere (S)	958	309
30850	Booringa (S)	1850	309
31750	Bulloo (S)	801	309
31850	Bungil (S)	1978	309
35600	Murweh (S)	4962	309
35800	Paroo (S)	2432	309
36150	Quilpie (S)	1402	309
36400	Roma (T)	6439	309
37200	Warroo (S)	996	309
33151	Fitzroy (S) - Pt A	4501	309
36350	Rockhampton (C)	59732	310
32101	Calliope (S) - Pt A	11055	310
33350	Gladstone (C)	26454	310
30350	Banana (S)	13598	310
30500	Bauhinia (S)	2543	310
32104	Calliope (S) - Pt B	2899	310
32850	Duaringa (S)	9311	310
33000	Emerald (S)	13312	310
33154	Fitzroy (S) - Pt B	4998	310
34100	Jericho (S)	966	310
34550	Livingstone (S)	24796	310
35350	Mount Morgan (S)	2858	310
35850	Peak Downs (S)	3172	310
30150	Aramac (S)	778	311
30400	Barcaldine (S)	1850	311
30450	Barcoo (S)	492	311
30750	Blackall (S)	1833	311
30900	Boulia (S)	561	311
32750	Diamantina (S)	424	311
33850	Ilfracombe (S)	333	311
34050	Isisford (S)	302	311
34700	Longreach (S)	4419	311
36650	Tambo (S)	566	311
37400	Winton (S)	1736	311
34762	Mackay (C) - Pt A	60703	312
30600	Belyando (S)	10755	312
31700	Broadsound (S)	7486	312
34765	Mackay (C) - Pt B	11191	312
35050	Mirani (S)	5088	312
35700	Nebo (S)	2462	312
36550	Sarina (S)	9394	312
37330	Whitsunday (S)	18282	312
37001	Aitkenvale	5063	313
37003	City (Townsville)	1820	313
37007	Cranbrook	6445	313
37012	Currajong	2924	313
37014	Douglas	2097	313
37015	Garbutt	2513	313
37018	Gulliver	3020	313
37023	Heatley	4582	313
37026	Hermit Park	3460	313
