Sla_id	Sla_name	TSD_Code
31800	Bundaberg (C)	307
32950	Eidsvold (S)	307
33300	Gayndah (S)	307
33551	Gooburrum (S)- Pt A	307
33554	Gooburrum (S)- Pt B	307
33650	Gympie (C)	307
33750	Hervey Bay (C)	307
34000	Isis (S)	307
34300	Kilkivan (S)	307
34350	Kingaroy (S)	307
34400	Kolan (S)	307
34950	Maryborough (C)	307
35100	Miriam Vale (S)	307
35150	Monto (S)	307
35450	Mundubbera (S)	307
35500	Murgon (S)	307
35650	Nanango (S)	307
35900	Perry (S)	307
36850	Tiaro (S)	307
37350	Widgee (S)	307
37450	Wondai (S)	307
37500	Woocoo (S)	307
37551	Woongarra (S)- Pt A	307
37554	Woongarra (S)- Pt B	307
30100	Allora (S)	308
32150	Cambooya (S)	308
32350	Chinchilla (S)	308
32400	Clifton (S)	308
32550	Crow	308
32650	Dalby (T)	308
33400	Glengallan (S)	308
33900	Inglewood (S)	308
34200	Jondaryan (S)	308
35000	Millmerran (S)	308
35550	Murilla (S)	308
36050	Pittsworth (S)	308
36450	Rosalie (S)	308
36500	Rosenthal (S)	308
36600	Stanthorpe (S)	308
36700	Tara (S)	308
36750	Taroom (S)	308
36900	Toowoomba (C)	308
37100	Waggamba (S)	308
37150	Wambo (S)	308
37250	Warwick (C)	308
30300	Balonne (S)	309
30650	Bendemere (S)	309
30850	Booringa (S)	309
31750	Bulloo (S)	309
31850	Bungil (S)	309
35600	Murweh (S)	309
35800	Paroo (S)	309
36150	Quilpie (S)	309
36400	Roma (T)	309
37200	Warroo (S)	309
30350	Banana (S)	310
30500	Bauhinia (S)	310
32101	Calliope (S)- Pt A	310
32104	Calliope (S)- Pt B	310
32850	Duaringa (S)	310
33000	Emerald (S)	310
33151	Fitzroy (S)- Pt A	310
33154	Fitzroy (S)- Pt B	310
33350	Gladstone (C)	310
34100	Jericho (S)	310
34550	Livingstone (S)	310
35350	Mount Morgan (S)	310
35850	Peak Downs (S)	310
36350	Rockhampton (C)	310
30150	Aramac (S)	311
30400	Barcaldine (S)	311
30450	Barcoo (S)	311
30750	Blackall (S)	311
30900	Boulia (S)	311
32750	Diamantina (S)	311
33850	Ilfracombe (S)	311
34050	Isisford (S)	311
34700	Longreach (S)	311
36650	Tambo (S)	311
37400	Winton (S)	311
30600	Belyando (S)	312
31700	Broadsound (S)	312
34750	Mackay (C)	312
35050	Mirani (S)	312
35700	Nebo (S)	312
36001	Pioneer (S)- Pt A	312
36004	Pioneer (S)- Pt B	312
36550	Sarina (S)	312
37330	Whitsunday (S)	312
30950	Bowen (S)	313
31900	Burdekin (S)	313
32300	Charters Towers (C)	313
32700	Dalrymple (S)	313
33800	Hinchinbrook (S)	313
36801	Kelso	313
36804	Kirwan	313
36807	Thuringowa (C)- Pt A Bal	313
36831	Thuringowa (C)- Pt B	313
37001	Aitkenvale	313
37003	City	313
37007	Cranbrook	313
37012	Currajong	313
37014	Douglas	313
37015	Garbutt	313
37018	Gulliver	313
37023	Heatley	313
37026	Hermit Park	313
